,id,symbol,name,nameid,rank,price_usd,percent_change_24h,percent_change_1h,percent_change_7d,price_btc,market_cap_usd,volume24,volume24a,csupply,tsupply,msupply
0,80,ETH,Ethereum,ethereum,2.0,3998.12,4.72,-0.23,5.23,0.082217,475072954602.56,13891602895.841246,12730190415.230429,118824085.00,118824085,
1,2710,BNB,Binance Coin,binance-coin,3.0,527.81,2.80,-0.32,-0.39,0.010854,88039744957.90,1141265321.7137957,963429945.1583811,166801148.00,192443301,200000000
2,518,USDT,Tether,tether,4.0,1.00,-0.05,0.04,-0.41,0.000021,73583788999.54,51871108966.21017,53183217001.84869,73578322706.00,68261274250,
3,48543,SOL,Solana,solana,5.0,178.88,4.33,-1.00,13.46,0.003678,54648872305.76,2066669887.7319274,1919935267.1365492,305506950.00,491561409.22682,21000000
4,257,ADA,Cardano,cardano,6.0,1.26,3.11,-0.24,1.20,0.000026,41886967329.57,707620185.3557084,713954103.4185911,33313246914.00,32025787326.655,45000000000
5,33285,USDC,USD Coin,usd-coin,7.0,0.999340,-0.06,0.05,-0.05,0.000021,38793834338.19,1050105671.5272716,852509663.805638,38819451751.00,29189121769.878,
6,58,XRP,XRP,ripple,8.0,0.893142,6.29,0.02,13.72,0.000018,38324291526.94,2238537055.740338,2212353377.292228,42909539227.00,99991841593,100000000000
7,48537,LUNA,Terra,terra-luna,9.0,84.97,11.88,1.26,55.12,0.001747,33148689980.59,3127262249.6308775,3160259925.3716717,390099861.00,948798839.82726,21000000
8,44883,AVAX,Avalanche,avalanche,10.0,117.84,13.11,0.18,46.67,0.002423,26390560166.77,1836923928.246451,977969065.2585238,223953589.00,381944432,720000000
9,2,DOGE,Dogecoin,dogecoin,11.0,0.169538,3.39,-0.74,6.82,0.000003,22457097701.22,1031356498.5223694,717380310.2873912,132460906384.00,132460906384,
10,45219,DOT,Polkadot,polkadot,12.0,24.96,5.06,-0.88,-5.38,0.000513,22401901833.82,721940235.7980267,591721118.503263,897657920.00,897657920,1000000000
11,45088,SHIB,Shiba Inu,shiba-inu,13.0,0.000032,10.92,-0.31,-4.13,6.55E-10,17500393555.98,1197748785.9578846,580241809.6193919,549052904455700.00,1000000000000000,
12,48591,BUSD,Binance USD,binance-usd,14.0,0.999261,-0.07,-0.03,-0.02,0.000021,13568140226.22,3604494820.0588913,3013158007.9271083,13578169256.00,13578169256.12,
13,33422,WBTC,Wrapped Bitcoin,wrapped-bitcoin,15.0,48640.05,5.62,-0.51,3.60,1.00,12353356084.14,196430155.61487877,211867041.51699585,253975.00,205870.92444383,
14,1,LTC,Litecoin,litecoin,16.0,153.07,2.77,-0.59,4.37,0.003148,10597720504.56,947129573.3451307,1366935852.287655,69233832.00,69233832,84000000
15,47305,UNI,Uniswap,uniswap,17.0,14.78,3.54,-0.40,3.11,0.000304,9279832111.78,128279651.75877364,164270326.67107064,627904519.00,1000000000,1000000000
16,2751,LINK,ChainLink,chainlink,18.0,19.11,3.79,-0.91,5.40,0.000393,8924824553.02,459761567.8715898,507066331.2823511,467009553.00,1000000000,1000000000 
17,34406,ALGO,Algorand,algorand,19.0,1.34,4.82,-0.53,-2.26,0.000028,8408795275.80,189403905.3070358,146525719.31392348,6286785541.00,5242765359.0244,
18,2321,BCH,Bitcoin Cash,bitcoin-cash,20.0,435.52,2.52,-0.32,1.57,0.008956,8245726421.44,78131098344.02344,5905316694.847252,18933031.00,18933031,21000000
19,48571,UST,TerraUSD,terrausd,21.0,1.00,-0.01,0.09,0.29,0.000021,7654516327.63,32783448.189776003,27671776.14796947,7631741604.00,7631741604.5617,
20,89,XLM,Stellar,stellar,22.0,0.263747,2.75,-0.61,3.56,0.000005,6502112635.92,440431950.74038875,493818017.3443861,24652843486.00,104303927518,104303927518
21,258,MANA,Decentraland,decentraland,23.0,3.25,5.19,-0.51,0.86,0.000067,5926283306.33,614119544.6473938,475722165.8872944,1824609834.00,2644403343,
22,46575,AXS,Axie Infinity,axie-infinity,24.0,96.51,5.51,0.63,2.82,0.001985,5878217439.09,334111538.33650684,237343079.24186474,60907500.00,270000000,270000000
23,48547,FTT,FTX Token,ftx-token,25.0,41.94,7.00,-0.56,10.56,0.000862,5848429648.36,106565139.02995034,69448257.1714946,139460202.00,335329538.48597,352170015
24,2713,TRX,TRON,tron,26.0,0.078369,3.35,-0.25,-8.32,0.000002,5615901921.12,981640079.8688765,786690083.9693466,71659657369.00,99000000000,
25,2741,VET,VeChain,vechain,27.0,0.081778,5.30,-0.25,4.16,0.000002,5259631266.77,195903862.84172964,210435514.91875082,64315576989.00,86712634466,86712634466
26,33830,ATOM,Cosmos,cosmos,28.0,22.74,8.29,-0.49,3.93,0.000468,5128109670.60,251082906.10340834,231723400.92285728,225488987.00,237928231,
27,33536,MATIC,Matic Network,matic-network,29.0,2.35,10.98,-1.46,26.71,0.000048,5104573502.95,1582928472.6564987,1145459249.4176521,2175190262.00,10000000000,
28,48563,NEAR,NEAR Protocol,near-protocol,30.0,8.77,4.41,-0.71,-5.32,0.000180,4979824632.42,265491001.77299744,379371585.7455906,567618812.00,1000000000,1000000000
29,33819,CRO,Crypto.com Chain,crypto-com-chain,31.0,0.520718,7.28,0.27,-3.37,0.000011,4832691890.87,66084054.460090436,77649925.86345775,9280821918.00,100000000000,
30,45161,SAND,The Sandbox,the-sandbox,32.0,5.07,5.31,-0.93,3.45,0.000104,4626097035.27,624593603.4542891,515635178.53434426,913246119.00,3000000000,3000000000
31,118,ETC,Ethereum Classic,ethereum-classic,33.0,35.13,3.01,-0.34,1.48,0.000722,4613902285.88,374393423.40928394,388122230.58573425,131348784.00,129777808.77282,210700000
32,32607,FIL,Filecoin,filecoin,34.0,35.12,2.16,-0.57,-2.99,0.000722,4566444771.99,447048894.41037166,412702871.4844651,130032829.00,106820493,2000000000
33,32360,THETA,Theta Token,theta-token,35.0,4.10,4.84,-0.65,3.33,0.000084,4098721615.38,109808756.16310276,122872793.17198983,1000000000.00,1000000000,
34,3682,XTZ,Tezos,tezos,36.0,4.19,5.97,-0.40,1.79,0.000086,3641406045.84,108570403.84354302,126218695.13986184,868937218.00,859580391.15649,
35,33644,FTM,Fantom,fantom,37.0,1.43,6.64,-0.90,9.24,0.000029,3627448721.47,279604243.92014396,234807714.86880296,2545006273.00,2545006273,3175000000
36,33833,LEO,UNUS SED LEO,unus-sed-leo,38.0,3.68,2.67,0.09,1.62,0.000076,3513402849.11,3105305.417966415,2963258.991439517,953954130.00,985239504,
37,28,XMR,Monero,monero,39.0,189.57,1.62,-0.48,1.41,0.003898,3419677135.30,398268571.6867418,275083260.62143797,18038893.00,17993468.763506,
38,45467,EGLD,Elrond eGold,elrond-egold,40.0,243.21,5.29,0.35,3.11,0.005001,3285343704.71,93406943.7057432,97770201.5205234,13508333.00,20000000,
39,447,IOTA,IOTA,iota,41.0,1.17,12.10,2.04,13.87,0.000024,3242336451.32,54894782.10884514,33415114.497488905,2779530283.00,2779530283,2779530283
40,48561,GRT,The Graph,the-graph,42.0,0.687418,13.43,-0.36,13.05,0.000014,3241680404.00,126313383.78654797,167379429.49314487,4715735200.00,10000000000,10057044431
41,42531,KLAY,Klaytn,klaytn,43.0,1.28,6.74,-0.58,0.30,0.000026,3233194489.90,26156406.98358702,22743828.943222385,2527809506.00,10735248534.4,
42,2679,EOS,EOS,eos,44.0,3.28,4.49,-0.50,4.14,0.000067,3190063108.42,612168248.0998856,617961768.4183292,972722633.00,1006245120,1006245120
43,45577,GALA,Gala,gala,45.0,0.442113,5.95,0.57,,0.000009,3084715305.06,297328073.0347033,283454050.7430738,6977205436.00,35240112493,
44,48555,HBAR,Hedera Hashgraph,hedera-hashgraph,46.0,0.308342,2.81,-1.19,33.83,0.000006,2970417775.32,73722690.05766374,179719241.9008269,9633530220.00,50000000000,50000000000
45,45985,CAKE,PancakeSwap,pancakeswap,47.0,11.88,-0.74,-0.56,7.07,0.000244,2917285390.16,118330596.9821323,96143759.55050641,245654140.00,245654140.25715,
46,2781,LRC,Loopring,loopring,48.0,2.10,9.81,-0.55,-1.57,0.000043,2791094790.65,169238521.37264356,142346140.9363071,1328325643.00,1374956262,1395076055
47,48567,ONE,Harmony,harmony,49.0,0.240725,9.61,-1.13,43.46,0.000005,2756579510.16,227786197.5991331,241501058.1976906,11451151683.00,13263843683.101,
48,48569,STX,Stacks,stacks,50.0,2.09,5.93,-0.98,11.12,0.000043,2695422352.46,46597539.87025139,47911074.06338079,1286647915.00,1352464600,1818000000
49,33391,BTT,BitTorrent,bittorrent,51.0,0.002672,5.58,-0.50,-7.13,5.50E-8,2645606099.53,172967066.5400821,171737381.0375595,990000000000.00,990000000000,
50,48589,FLOW,Flow,flow,52.0,8.30,2.95,-0.47,-4.17,0.000171,2609057936.73,42053405.3662658,44762834.1448313,314343134.00,1378211739,
51,46018,AAVE,Aave,aave,53.0,182.74,6.89,0.02,11.65,0.003758,2448482397.45,138473027.74874958,147291129.17435226,13398608.00,16000000,16000000
52,12377,MKR,Maker,maker,54.0,2416.86,6.11,-0.10,5.81,0.049700,2391800062.85,36833274.82225698,43066100.6552834,989630.00,1000000,1000000
53,33234,BCHSV,Bitcoin SV,bitcoin-cash-sv,55.0,124.09,0.74,-0.27,-3.10,0.002552,2348865950.13,502117794.7711817,447528238.21214265,18929408.00,21000000,21000000
54,42277,KSM,Kusama,kusama,56.0,266.84,1.05,-1.34,-3.62,0.005487,2260166947.43,228817920.6938778,193537279.64854726,8470098.00,10000000,10000000
55,33085,QNT,Quant,quant,57.0,175.99,1.77,-1.44,-2.37,0.003619,2124665201.79,33307874.094761796,32958363.674917996,12072738.00,45467000,14612493
56,134,ZEC,Zcash,zcash,58.0,158.42,3.83,-0.13,5.78,0.003258,2114357621.10,290696293.5781303,267227986.5160416,13346175.00,13346175,21000000
57,51539,XEC,eCash,ecash,59.0,0.000109,1.32,-0.18,1.69,2.24E-9,2062776028.44,16057159.811570905,20450221.270428672,18911817173313.00,18899704673313,21000000000000
58,2581,ENJ,Enjin Coin,enjin-coin,60.0,2.40,8.88,-0.66,1.88,0.000049,2016565727.43,152659311.8092938,112794082.03488584,838603684.00,1000000000,1000000000
59,33531,OKB,OKB,okb,61.0,32.06,1.08,-0.52,14.30,0.000659,1923898159.60,505112358.3173833,577660937.0170969,60000000.00,300000000,
60,2750,KCS,KuCoin Shares,kucoin-shares,62.0,21.51,5.43,0.01,11.08,0.000442,1908937335.42,13793398.61050953,13348540.57643359,88745681.00,180730576,
61,48581,CRV,Curve DAO Token,curve-dao-token,63.0,4.33,11.40,-0.87,27.97,0.000089,1879076673.81,333844295.7114907,286523855.8618732,433880729.00,1641509941.5799,3303030299
62,133,NEO,Neo,neo,64.0,26.26,7.59,-0.10,2.49,0.000540,1852053125.33,149305824.55265713,125259617.97824274,70538831.00,100000000,100000000
63,42441,AR,Arweave,arweave,65.0,53.90,4.17,-1.20,45.36,0.001108,1800046356.38,164938329.35056648,150431230.5095222,33394701.00,63190435,66000000
64,43242,KDA,Kadena,kadena,66.0,11.11,8.94,-0.43,16.48,0.000228,1759419733.77,63496375.35753218,46381325.86058415,158390764.00,1000000000,1000000000
65,36447,RUNE,THORChain,thorchain,67.0,6.79,12.99,-1.51,6.32,0.000140,1753483159.64,60429050.76226348,23839759.99797215,258210215.00,461668422.22481,500000000
66,113,WAVES,Waves,waves,68.0,16.12,6.44,-0.20,10.82,0.000332,1722563314.72,108369810.49336244,82664819.04322033,106842988.00,106176592,106176592
67,184,BAT,Basic Attention Token,basic-attention-token,69.0,1.15,7.08,-1.73,9.40,0.000024,1710508583.55,154323889.32683697,145971211.71974856,1492818789.00,1500000000,1500000000
68,34391,CHZ,Chiliz,chiliz,70.0,0.273718,8.39,-0.74,-0.09,0.000006,1629102492.37,114029520.14819518,87101706.32918146,5951749372.00,8888888888,
69,32351,HT,Huobi Token,huobi-token,71.0,9.93,-0.59,0.88,9.52,0.000204,1581208057.82,106727839.35365152,87320505.05712803,159308566.00,500000000,500000000
70,44425,CELO,Celo,celo,72.0,4.17,3.33,-1.70,19.08,0.000086,1530624103.17,47000855.82406496,73461911.64229287,367204495.00,1000000000,1000000000
71,8,DASH,Dash,dash,73.0,130.43,4.62,-0.31,1.78,0.002682,1367940902.83,189733002.27642056,179495513.91321403,10487846.00,10487846,18900000
72,32686,HOT,Holo,holo,74.0,0.007859,12.37,-1.20,0.59,1.62E-7,1359917616.64,92441576.66114973,53125347.98592262,173037114405.00,177619433541,
