id,name,name_id,url,country,date_live,date_added,usdt,fiat,auto,volume_usd,udate,volume_usd_adj
1,1Broker,_1broker,https://1broker.com/,Marshall Islands,2011-09-16,0000-00-00 00:00:00,0,1,No,0.0,Recently,0.0
2,1BTCXE,_1btcxe,https://1btcxe.com,"Panama City, Republic of Panama
",2014-01-01,0000-00-00 00:00:00,0,1,Yes,0.0,NA,0.0
3,ACX,acx,https://acx.io,Australia,2016-04-01,0000-00-00 00:00:00,0,1,Yes,0.0,Recently,0.0
4,ANXPro,anxpro,https://anxpro.com,"Hong Kong, China",2014-02-01,0000-00-00 00:00:00,0,1,Yes,416.61024585076,NA,416.61024585076
5,Binance,binance,https://www.binance.com,Japan,2014-01-01,0000-00-00 00:00:00,1,0,Yes,12169826858.468122,Recently,125369050922.9761
6,Bit2C,bit2c,https://www.bit2c.co.il,Israel,2013-05-01,0000-00-00 00:00:00,0,1,Yes,70426.12533692233,Lag,70426.12533692233
7,BitBay,bitbay,https://bitbay.net,Poland,2014-01-01,0000-00-00 00:00:00,0,1,Yes,13774317.591535592,Recently,290414.0848328674
8,Bitcoin.co.id,bitcoincoid,https://www.bitcoin.co.id,Indonesia,2015-01-01,0000-00-00 00:00:00,0,1,Yes,0.0,NA,0.0
9,Bitfinex,bitfinex2,https://www.bitfinex.com,Hong Kong,2012-01-01,0000-00-00 00:00:00,1,0,Yes,736837241.7502587,Recently,770370641.0079703
10,bitFlyer,bitflyer,https://bitflyer.com/,Japan,2014-01-09,0000-00-00 00:00:00,0,1,Yes,122140099.81773284,Recently,36504761.224782124
11,Bithumb,bithumb,https://www.bithumb.com,South Korea,2013-01-01,0000-00-00 00:00:00,0,1,Yes,0.0,Lag,0.0
12,bitlish,bitlish,https://bitlish.com,UK,2014-01-01,0000-00-00 00:00:00,0,1,Yes,0.0,Lag,0.0
13,BitMarket,bitmarket,https://www.bitmarket.net/,"Poland, EU",,0000-00-00 00:00:00,0,0,No,830158.1227909212,Lag,0.0
14,BitMEX,bitmex,https://www.bitmex.com/,Seychelles,2014-01-01,2018-05-21 00:00:00,0,0,Yes,0.0,Recently,0.0
15,Bitso,bitso,https://bitso.com,Mexico,2014-01-01,0000-00-00 00:00:00,0,0,Yes,14926446.36970247,Recently,4301995.118536172
16,Bitstamp,bitstamp,https://www.bitstamp.net/,"Luxembourg, Luxembourg; Slovenia",2011-00-00,0000-00-00 00:00:00,0,0,Yes,239720206.30787945,Recently,19964137.15521281
17,Bittrex,bittrex,https://bittrex.com/,"Seattle, Washington, United States",2014-00-00,0000-00-00 00:00:00,0,0,Yes,58120478.61725006,Recently,21168402.947890833
18,BL3P,bl3p,https://bl3p.eu,"Netherlands, EU",,0000-00-00 00:00:00,0,0,Yes,272690.88912324,Recently,0.0
19,Bleutrade,bleutrade,https://bleutrade.com,Brazil,2017-01-01,0000-00-00 00:00:00,0,0,Yes,255.72471608998703,Lag,255.72471608998703
21,BTCExchange,btcexchange,https://www.btcxchange.com,Philippines,,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
22,BTC Markets,btcmarkets,https://btcmarkets.net/,Australia,,0000-00-00 00:00:00,0,0,Yes,7698018.776796799,Recently,402961.7832634048
24,BTCTurk,btcturk,https://www.btcturk.com,Turkey,,0000-00-00 00:00:00,0,0,Yes,43851342.43015169,Recently,7940605.098839571
25,BTCX,btcx,https://bt.cx,"Iceland, US, EU",,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
26,Bter,bter,bter.com,"British Virgin Islands, China",,0000-00-00 00:00:00,0,0,Yes,0.0,NA,0.0
27,BX.in.th,bxinth,https://bx.in.th,Thailand,,0000-00-00 00:00:00,0,0,Yes,0.0,Lag,0.0
