Unix,Date,Symbol,Open_price,High,Low,Close,Volume_bnb,Volume_usdt,Tradecount
1640823420000,2021-12-30 00:17:00,BNB/USDT,510.5,510.77,508.96,509.92,6941.43,3539016.5566,3330
1640823360000,2021-12-30 00:16:00,BNB/USDT,511.48,511.87,510.05,510.49,1336.46,682730.6325,860
1640823300000,2021-12-30 00:15:00,BNB/USDT,512.14,512.59,511.13,511.49,913.77,467786.9346,595
1640823240000,2021-12-30 00:14:00,BNB/USDT,511.33,512.43,511.29,512.18,1011.1,517579.2703,569
1640823180000,2021-12-30 00:13:00,BNB/USDT,510.79,512.2,510.74,511.39,684.04,349886.1501,797
1640823120000,2021-12-30 00:12:00,BNB/USDT,510.96,510.96,510.05,510.79,2485.84,1268929.0862,1871
1640823060000,2021-12-30 00:11:00,BNB/USDT,511.98,512.93,510.93,510.96,1457.77,745951.6045,822
1640823000000,2021-12-30 00:10:00,BNB/USDT,511.91,512.33,511.59,511.99,627.85,321371.5343,503
1640822940000,2021-12-30 00:09:00,BNB/USDT,512.59,512.62,511.9,511.91,595.71,305155.0874,452
1640822880000,2021-12-30 00:08:00,BNB/USDT,513.06,513.06,512.26,512.59,618.65,317136.532,526
1640822820000,2021-12-30 00:07:00,BNB/USDT,511.74,513.42,511.6,513.06,1217.3,624077.4432,843
1640822760000,2021-12-30 00:06:00,BNB/USDT,513.17,513.17,511.37,511.73,1272.83,651884.0697,1075
1640822700000,2021-12-30 00:05:00,BNB/USDT,513.43,513.6,513.13,513.17,390.06,200253.8842,386
1640822640000,2021-12-30 00:04:00,BNB/USDT,513.25,513.48,512.73,513.43,577.88,296450.8878,499
1640822580000,2021-12-30 00:03:00,BNB/USDT,513.59,513.66,512.73,513.24,1105.25,567220.1138,675
1640822520000,2021-12-30 00:02:00,BNB/USDT,514.95,515.12,513.36,513.56,1241.25,638214.5035,716
1640822460000,2021-12-30 00:01:00,BNB/USDT,515.11,515.16,514.55,514.95,969.63,499257.5024,615
